ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Heiban,هيبان,SD07096,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3402.48877
Janub Al Jazirah,جنوب الجزيرة,SD15031,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3251.489014
Jebel Awlia,جبل أولياء,SD01001,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,779.6997681
Jebel Moon,جبل مون,SD04123,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3909.63501
Jubayt Elma'aadin,جبيت المعادن,SD10067,Jubayt Elmaaadin,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,40407.48438
Kadugli,كادقلي,SD07098,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2165.609863
Karrari,كرري,SD01005,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2916.066406
Kas,كاس,SD03144,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3494.660889
Kateila,كتيلا,SD03159,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2580.520996
Kebkabiya,كبكابية,SD02124,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4445.773926
Keilak,كيلك,SD18085,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8829.272461
Kelemando,كلمندو,SD02126,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7224.791016
Kereneik,كرينك,SD04125,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5797.459473
Kernoi,كرنوي,SD02168,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8614.161133
Khartoum,الخرطوم,SD01007,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,167.2157135
Kosti,كوستي,SD09047,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1571.959839
Kubum,كبم,SD03157,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3007.755371
Kulbus,كلبس,SD04127,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2922.106689
Kutum,كتم,SD02128,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,14000.59863
Madeinat Al Gedaref,مدينة القضارف,SD12080,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,118.5922012
Madeinat Kassala,مدينة كسلا,SD11053,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,132.473999
Medani Al Kubra,مدني الكبري,SD15030,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,587.145874
Melit,مليط,SD02129,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,16116.45703
Mershing,مرشنج,SD03145,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1140.255127
Merwoe,مروي,SD17020,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,17611.88281
Mukjar,مكجر,SD06130,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6238.664551
Nitega,نتيقة,SD03151,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2939.30249
Nyala Janoub,نيالا جنوب,SD03167,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,257.7190857
Nyala Shimal,نيالا شمال,SD03164,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3146.498047
Port Sudan,بورتسودان,SD10064,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,564.0219116
Rabak,ربك,SD09046,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1690.116943
Rehaid Albirdi,رهيد البردي,SD03158,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7475.959473
